Reviewer,PR Number,Review time (mins),Initial Response time (mins),Code Review Comments,PR Issue Comments,PR Review Comments,Total Comments,PR URL
ojeytonwilliams,PR 68425,420,420,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/68425
ojeytonwilliams,PR 68177,1380,1380,2,0,0,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/68177
ojeytonwilliams,PR 67606,561,561,2,0,0,2,https://github.com/freeCodeCamp/freeCodeCamp/pull/67606
ojeytonwilliams,PR 67227,1455,969,4,0,1,5,https://github.com/freeCodeCamp/freeCodeCamp/pull/67227
ojeytonwilliams,PR 67117,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/67117
ojeytonwilliams,PR 66511,494,425,6,0,1,7,https://github.com/freeCodeCamp/freeCodeCamp/pull/66511
ojeytonwilliams,PR 66313,0,0,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/66313
ojeytonwilliams,PR 66202,120,120,3,0,1,4,https://github.com/freeCodeCamp/freeCodeCamp/pull/66202
ojeytonwilliams,PR 65864,960,960,0,0,0,0,https://github.com/freeCodeCamp/freeCodeCamp/pull/65864
ojeytonwilliams,PR 65687,0,0,4,0,0,4,https://github.com/freeCodeCamp/freeCodeCamp/pull/65687
